seq_no,meter_id,meter_disagg_start,meter_disagg_end,usage_interval_duration
67,0011ca42bc61199734ae91504931ce25aeb0d0cc_AMI,1722470400,1725061500,15 minute
68,0011d76da74e331e439e14e39425ac45f6772f4c_AMI,1722470400,1725061500,15 minute
69,001203125707ab28028d829473a2bdbf451c0125_AMI,1722470400,1725061500,15 minute
70,00121156bad53c74d8eed20b8997ccdf004a09c4_AMI,1722470400,1725061500,15 minute
71,001229665d6c3669d5952913e47d159e102e9050_AMI,1722470400,1725061500,15 minute
72,00125ec16862d4b2e2bb7c0734dceaf04887708d_AMI,1722470400,1725061500,15 minute
73,00126b7a06f0a5ba2d921342a38b0a858fd3b7eb_AMI,1722470400,1725061500,15 minute
74,00126c48f45101c877e98d2000bfdc2398022900_AMI,1722470400,1725061500,15 minute
75,00127472d724e5fa7f1dc9fcd3a35f0e7267d92a_AMI,1722470400,1725061500,15 minute
76,00128846e6f694326cd064329c0006772614dcae_AMI,1722470400,1725061500,15 minute
77,001321a5bc43d8d611d7c03e3214d0dd8ec1a9ed_AMI,1722470400,1725061500,15 minute
78,00133fb1fd07a27c4d80cd58fe4ddf6068bf847a_AMI,1722470400,1725061500,15 minute
79,001381580a9a10634701e7bba9c14bdfb8e3fc3b_AMI,1722470400,1725061500,15 minute
80,0013e0f697317a6c51ddb953b0d51711e39499c1_AMI,1722470400,1725061500,15 minute
81,0013e9ab291878fb3f938077e992cb7938b67422_AMI,1722470400,1725061500,15 minute
82,00140c71aaa45ab6cbbd72e50a845cb5d1bb3d06_AMI,1722470400,1725061500,15 minute
83,001417cf55fcf3de6ca71085769a60e05a472434_AMI,1722470400,1725061500,15 minute
84,0014236613538662cdb33e49faada1b6feadca0a_AMI,1722470400,1725061500,15 minute
85,00145b52390dfc87e6af13b91f6f7cd7860bff90_AMI,1722470400,1725061500,15 minute
86,0014b4011d0ba19781939ac18744e6e82f2bfc75_AMI,1722470400,1725061500,15 minute
87,0015b8d05dc713dd8dfd20d53818a6180db39ad2_AMI,1722470400,1725061500,15 minute
88,0016413361ff0f0008a2ec1082074e6ff182ce58_AMI,1722470400,1725061500,15 minute
89,00164a723c1111c1392949a8d6e0829368daa160_AMI,1722470400,1725061500,15 minute
90,00167af7b965481063b204999c9bc3f881100958_AMI,1722470400,1725061500,15 minute
91,0016bb69943e918f7bed2f90ff9fa52b163a9d77_AMI,1722470400,1725061500,15 minute
92,0016c98a730c5e619d850cbd979c8e90677d594b_AMI,1722470400,1725061500,15 minute
93,00171b853cdc0f6ea4b4ce04358fe6839c1c00b6_AMI,1722470400,1725061500,15 minute
94,00172ae0a090ab7fff5ec8eeb80980abfce33009_AMI,1722470400,1725061500,15 minute
95,001747946c502bed70cd9c82469b5e68068b6dfd_AMI,1722470400,1725061500,15 minute
96,001757e1c9f300df87e6538c1b940e8028398de7_AMI,1722470400,1725061500,15 minute
97,0018787c0c0ac608c31a3a723463f551801d8c83_AMI,1722470400,1725061500,15 minute
98,00188337642cbf6c7d0cb4b83a2178e49b1b3fd9_AMI,1722470400,1725061500,15 minute
99,0018aa8714754e953fb11f941ab250183f0765a6_AMI,1722470400,1725061500,15 minute
100,0018e80d8cb1a843887ffe827696768f8c555866_AMI,1722470400,1725061500,15 minute
101,00192c7facfe40426835cc36f279a7d5e8c08d08_AMI,1722470400,1725061500,15 minute
102,0019564204d3657b3a2e9a86ad2bd3007da7e782_AMI,1722470400,1725061500,15 minute
103,00198ac2ec1112cf119558eebb9c99f95ea9e681_AMI,1722470400,1725061500,15 minute
104,0019c37bfcaa1139972e64a4752772e19f584fc1_AMI,1722470400,1725061500,15 minute
105,001a0d1ff3412d2fa6e3d23df5d07f693f631eda_AMI,1722470400,1725061500,15 minute
106,001a18d68ba11b852ab8b1316a1d451331ac3437_AMI,1722470400,1725061500,15 minute
107,001a7d013383c8615b5156de6372e67019050195_AMI,1722470400,1725061500,15 minute
108,001a9d14f3f0d2b2d5bdd33cf2336ce805356df0_AMI,1722470400,1725061500,15 minute
109,001abbb51301f737398e2b11b3f2e6a0aabac639_AMI,1722470400,1725061500,15 minute
110,001ac582eb16ff5d0bd76bc866265e9cde95f071_AMI,1722470400,1725061500,15 minute
111,001adb59d5b18ac9bbfe709f814763a725e35d17_AMI,1722470400,1725061500,15 minute
112,001ae5c48d733ae3102bb859fec2eeaf7732a89a_AMI,1722470400,1725061500,15 minute
113,001b1369e4fa4d59d2e99f52663ff644085d3314_AMI,1722470400,1725061500,15 minute
114,001b630bb43f3b2cbaf74c4a8ba7782ffe47a602_AMI,1722470400,1725061500,15 minute
115,001b9406f4937b9b0d28c82e8370c10cc4282d01_AMI,1722470400,1725061500,15 minute
116,001be8a4eac9caf7f9427926ad98ef661750c77b_AMI,1722470400,1725061500,15 minute
117,001bf0049e52d7cc07ee82b4296933382dcc8c9d_AMI,1722470400,1725061500,15 minute
118,001bf59006769da9e28ccd58635932788dbea21e_AMI,1722470400,1725061500,15 minute
119,001c1b9ca674f52dde00387eccbaeb5204f21b5e_AMI,1722470400,1725061500,15 minute
120,001c24bd8022d3677524973f9d22f036cc5c20fe_AMI,1722470400,1725061500,15 minute
121,001c3c0d49a1614bb39603ba22927ddb01f40133_AMI,1722470400,1725061500,15 minute
122,001ccaac4540d9ea62cf1d7b3d579127f493e3fa_AMI,1722470400,1725061500,15 minute
123,001ccfd56d9924714cca334b44d0ace35fce93e7_AMI,1722470400,1725061500,15 minute
124,001d6932cc9af72b7fb39b1cce43b19b639080e3_AMI,1722470400,1725061500,15 minute
125,001deba852a066def3abf6cf308ac6dbf3c08923_AMI,1722470400,1725061500,15 minute
126,001e6b1237ca97e0cb8580f7ad880d2aa36a4d44_AMI,1722470400,1725061500,15 minute
127,001e86faa766206dba5e5f83f075fbae5160c49f_AMI,1722470400,1725061500,15 minute
128,001ea8963c3433eb9cd48b5c62adb23d8e6c071a_AMI,1722470400,1725061500,15 minute
129,001eedead3772cce122334ebc842e3fc592efacb_AMI,1722470400,1725061500,15 minute
130,001fba4cdd39bec2e749dca23e08a76d27913c23_AMI,1722470400,1725061500,15 minute
131,001fd94eab91607954436a02dbf6ae557acb3540_AMI,1722470400,1725061500,15 minute
132,0020219afc426a71f2361132edff34ca6671561e_AMI,1722470400,1725061500,15 minute
133,0020349c3d733e8cfaad3831daef98b516b6bb1a_AMI,1722470400,1725061500,15 minute
134,00203cf49dda1a7cfd8c2007a50f50a226ec6295_AMI,1722470400,1725061500,15 minute
135,002076043f2be2dd14b441a613226030c426ebcb_AMI,1722470400,1725061500,15 minute
136,0020785cda054472b98d6b2a888292b1530adc47_AMI,1722470400,1725061500,15 minute
137,0020f3147a036056a7d3c29c5c953a98ff359ce2_AMI,1722470400,1725061500,15 minute
138,0020f7f41c0e7d4bea9b189dca84a7814330d4c3_AMI,1722470400,1725061500,15 minute
139,00210e3cec88bf1a07998677e7745a253ffd682f_AMI,1722470400,1725061500,15 minute
140,00217bda9243c463559516f34cd775edbacda9d1_AMI,1722470400,1725061500,15 minute
141,0021aa26894f20d06b9b6b2423c69e5679d1bcd0_AMI,1722470400,1725061500,15 minute
142,002214c2b077597e32dc9d5474140fb8e2ac747e_AMI,1722470400,1725061500,15 minute
143,00221c2f1c5ca82e81f3017103f2023dd5044958_AMI,1722470400,1725061500,15 minute
144,00221e8d9622d6659c17d5ad025c7697b8feb450_AMI,1722470400,1725061500,15 minute
145,00222a7e9113f14150fb5d8172b6e0cc9f414cd1_AMI,1722470400,1725061500,15 minute
146,00223495e63628c3753843b6df42acc673ee1687_AMI,1722470400,1725061500,15 minute
147,002235da4a791f17fbe612b8dc8a65ea72cc0117_AMI,1722470400,1725061500,15 minute
148,002272a816081b5070bdbd7251e90ff6692aac91_AMI,1722470400,1725061500,15 minute
149,0022aef0ee5e9f37758307eb776606590d9770e0_AMI,1722470400,1725061500,15 minute
150,00230accc74f6328cef61770c9581b745a56c437_AMI,1722470400,1725061500,15 minute
151,0023b5dbaa632ae341a94a66502516d90ee8f299_AMI,1722470400,1725061500,15 minute
152,0023ef4fcf914241059eb04b93e1aaf662d51fe3_AMI,1722470400,1725061500,15 minute
153,00248dff472140bec13dcfdb9c6a142bcbea7b74_AMI,1722470400,1725061500,15 minute
154,0025659f1fbae585019ffa145189e2daf089e11a_AMI,1722470400,1725061500,15 minute
155,00257adf63b6d087f7948e23c293e8b36c0b2113_AMI,1722470400,1725061500,15 minute
156,002585e875425d5ed0e73c73d183466137897e1b_AMI,1722470400,1725061500,15 minute
157,0025c1462d63a93ce23265013d1e1d48f8870f41_AMI,1722470400,1725061500,15 minute
158,00261c157235cc046c7fbc5e232be417521892db_AMI,1722470400,1725061500,15 minute
159,00261d5197c150e6f9fe9ac902abb054938244a9_AMI,1722470400,1725061500,15 minute
160,00262c870069e84a8b7783657697355cb44ba598_AMI,1722470400,1725061500,15 minute
161,00265a3ec0b9eabc50024ae1baa7cd90bdfd11d4_AMI,1722470400,1725061500,15 minute
162,0026c21f380606835eae9135512164309f390b5d_AMI,1722470400,1725061500,15 minute
163,0026e77039fcb7c0a06ff6c462bbd68931229148_AMI,1722470400,1725061500,15 minute
164,00274ae65ea390ebafb0d0d8b8ac9c83a36775c0_AMI,1722470400,1725061500,15 minute
165,002764b9a11cf51e498fe2683a237d6da9f5ec55_AMI,1722470400,1725061500,15 minute
166,0027becae922387a6546d758b2cff68ae4142a70_AMI,1722470400,1725061500,15 minute
167,0027ed95e7d14736b802dafd597d921a5e0887a8_AMI,1722470400,1725061500,15 minute
168,002819bb2496efcd475f1702087d3faf973badef_AMI,1722470400,1725061500,15 minute
169,00281e7f1a76f04fdc6558acb4ae879a3ffa074d_AMI,1722470400,1725061500,15 minute
170,0028d9d97b31fe358705a6fa58c5c5e236ad308b_AMI,1722470400,1725061500,15 minute
