seq_no,meter_id,equipment_disagg_start,equipment_disagg_end,equipment_type,equipment_detected,direction,meter_consumption,equipment_consumption,uom
70,7941405,1722470400,1725061500,AC,y,1,9122.344,1236.2442980869216,kwh
71,7941405,1722470400,1725061500,PV,n,-1,9122.344,0.0,kwh
72,7941405,1722470400,1725061500,other,y,1,9122.344,7799.164892498225,kwh
73,9586041,1722470400,1725061500,EV,y,1,4248.68,64.72722601050015,kwh
74,9586041,1722470400,1725061500,AC,y,1,4248.68,1023.0710476501048,kwh
75,9586041,1722470400,1725061500,PV,n,-1,4248.68,0.0,kwh
76,9586041,1722470400,1725061500,other,y,1,4248.68,3160.881725220215,kwh
77,12470892,1722470400,1725061500,EV,y,1,3560.66,62.290092817154274,kwh
78,12470892,1722470400,1725061500,AC,y,1,3560.66,896.1626122391461,kwh
79,12470892,1722470400,1725061500,PV,n,-1,3560.66,0.0,kwh
80,12470892,1722470400,1725061500,other,y,1,3560.66,2602.207292934528,kwh
81,14663105,1722470400,1725061500,EV,y,1,6926.08,58.4901619611301,kwh
82,14663105,1722470400,1725061500,AC,y,1,6926.08,965.2920430728312,kwh
83,14663105,1722470400,1725061500,PV,n,-1,6926.08,0.0,kwh
84,14663105,1722470400,1725061500,other,y,1,6926.08,5902.297793375359,kwh
85,12477964,1722470400,1725061500,EV,y,1,732.0439999999999,29.89199326112708,kwh
86,12477964,1722470400,1725061500,AC,y,1,732.0439999999999,379.4126911388426,kwh
87,12477964,1722470400,1725061500,PV,n,-1,732.0439999999999,0.0,kwh
88,12477964,1722470400,1725061500,other,y,1,732.0439999999999,322.73931260738755,kwh
89,7011396,1722470400,1725061500,EV,y,1,2781.456,50.16220557556723,kwh
90,7011396,1722470400,1725061500,AC,y,1,2781.456,848.7580121662489,kwh
91,7011396,1722470400,1725061500,PV,n,-1,2781.456,0.0,kwh
92,7011396,1722470400,1725061500,other,y,1,2781.456,1882.535779841416,kwh
93,13613134,1722470400,1725061500,EV,y,1,3601.612,58.44432497123765,kwh
94,13613134,1722470400,1725061500,AC,y,1,3601.612,850.8418093029558,kwh
95,13613134,1722470400,1725061500,PV,n,-1,3601.612,0.0,kwh
96,13613134,1722470400,1725061500,other,y,1,3601.612,2692.325863509639,kwh
97,7957259,1722470400,1725061500,EV,y,1,3717.656,56.68791285700392,kwh
98,7957259,1722470400,1725061500,AC,y,1,3717.656,924.6558370692014,kwh
99,7957259,1722470400,1725061500,PV,n,-1,3717.656,0.0,kwh
100,7957259,1722470400,1725061500,other,y,1,3717.656,2736.312248841218,kwh
101,11421515,1722470400,1725061500,EV,y,1,4828.576,58.006200461159125,kwh
102,11421515,1722470400,1725061500,AC,y,1,4828.576,982.4152404287132,kwh
103,11421515,1722470400,1725061500,PV,n,-1,4828.576,0.0,kwh
104,11421515,1722470400,1725061500,other,y,1,4828.576,3788.1545575707255,kwh
105,14307191,1722470400,1725061500,EV,y,1,4714.116032,57.27965440483031,kwh
106,14307191,1722470400,1725061500,AC,y,1,4714.116032,1066.0624754203625,kwh
107,14307191,1722470400,1725061500,PV,n,-1,4714.116032,0.0,kwh
108,14307191,1722470400,1725061500,other,y,1,4714.116032,3590.773901140424,kwh
109,7424905,1722470400,1725061500,EV,y,1,3592.796,50.88463276001537,kwh
110,7424905,1722470400,1725061500,AC,y,1,3592.796,817.737386802811,kwh
111,7424905,1722470400,1725061500,PV,n,-1,3592.796,0.0,kwh
112,7424905,1722470400,1725061500,other,y,1,3592.796,2724.17397778683,kwh
113,7102005,1722470400,1725061500,EV,y,1,7198.5,61.547037634767456,kwh
114,7102005,1722470400,1725061500,AC,y,1,7198.5,1166.262283599404,kwh
115,7102005,1722470400,1725061500,PV,n,-1,7198.5,0.0,kwh
116,7102005,1722470400,1725061500,other,y,1,7198.5,5970.690676786616,kwh
117,7519261,1722470400,1725061500,EV,y,1,5989.636,75.6674815668575,kwh
118,7519261,1722470400,1725061500,AC,y,1,5989.636,1153.7628387243778,kwh
119,7519261,1722470400,1725061500,PV,n,-1,5989.636,0.0,kwh
120,7519261,1722470400,1725061500,other,y,1,5989.636,4760.205677641223,kwh
121,14187619,1722470400,1725061500,EV,y,1,8771.432032,69.79434501034743,kwh
122,14187619,1722470400,1725061500,AC,y,1,8771.432032,1053.9073237539028,kwh
123,14187619,1722470400,1725061500,PV,n,-1,8771.432032,0.0,kwh
124,14187619,1722470400,1725061500,other,y,1,8771.432032,7647.730362704662,kwh
125,13726493,1722470400,1725061500,EV,y,1,6077.944,66.87126201813079,kwh
126,13726493,1722470400,1725061500,AC,y,1,6077.944,1145.993123000329,kwh
127,13726493,1722470400,1725061500,PV,n,-1,6077.944,0.0,kwh
128,13726493,1722470400,1725061500,other,y,1,6077.944,4865.079613706944,kwh
129,7884382,1722470400,1725061500,EV,y,1,4856.196,66.73858372420973,kwh
130,7884382,1722470400,1725061500,AC,y,1,4856.196,953.9685644762754,kwh
131,7884382,1722470400,1725061500,PV,n,-1,4856.196,0.0,kwh
132,7884382,1722470400,1725061500,other,y,1,4856.196,3835.488849231759,kwh
133,8509474,1722470400,1725061500,EV,y,1,1801.564,45.04236752047903,kwh
134,8509474,1722470400,1725061500,AC,y,1,1801.564,662.5682526896459,kwh
135,8509474,1722470400,1725061500,PV,n,-1,1801.564,0.0,kwh
136,8509474,1722470400,1725061500,other,y,1,1801.564,1093.9533763841332,kwh
137,10256770,1722470400,1725061500,EV,y,1,3874.24402,55.58356631693518,kwh
138,10256770,1722470400,1725061500,AC,y,1,3874.24402,934.834097717052,kwh
139,10256770,1722470400,1725061500,PV,n,-1,3874.24402,0.0,kwh
140,10256770,1722470400,1725061500,other,y,1,3874.24402,2883.8263542257414,kwh
141,11648022,1722470400,1725061500,EV,y,1,6418.792,71.44326014987088,kwh
142,11648022,1722470400,1725061500,AC,y,1,6418.792,1192.3415715871408,kwh
143,11648022,1722470400,1725061500,PV,n,-1,6418.792,0.0,kwh
144,11648022,1722470400,1725061500,other,y,1,6418.792,5155.007167599901,kwh
145,12017154,1722470400,1725061500,EV,y,1,5533.032,78.56679339801936,kwh
146,12017154,1722470400,1725061500,AC,y,1,5533.032,1177.5932316758162,kwh
147,12017154,1722470400,1725061500,PV,n,-1,5533.032,0.0,kwh
148,12017154,1722470400,1725061500,other,y,1,5533.032,4276.871974464781,kwh
149,8393591,1722470400,1725061500,EV,y,1,6080.188,63.520619788601536,kwh
150,8393591,1722470400,1725061500,AC,y,1,6080.188,1135.8037094533397,kwh
151,8393591,1722470400,1725061500,PV,n,-1,6080.188,0.0,kwh
152,8393591,1722470400,1725061500,other,y,1,6080.188,4880.863669578216,kwh
153,8328125,1722470400,1725061500,EV,y,1,5172.924,74.95388476892394,kwh
154,8328125,1722470400,1725061500,AC,y,1,5172.924,1054.3726852186862,kwh
155,8328125,1722470400,1725061500,PV,n,-1,5172.924,0.0,kwh
156,8328125,1722470400,1725061500,other,y,1,5172.924,4043.597427445826,kwh
157,12279873,1722470400,1725061500,EV,y,1,6478.088,71.364915326308,kwh
158,12279873,1722470400,1725061500,AC,y,1,6478.088,1162.6339513667394,kwh
159,12279873,1722470400,1725061500,PV,n,-1,6478.088,0.0,kwh
160,12279873,1722470400,1725061500,other,y,1,6478.088,5244.089131952805,kwh
161,7489626,1722470400,1725061500,EV,y,1,3389.252,56.39298213452758,kwh
162,7489626,1722470400,1725061500,AC,y,1,3389.252,933.3382760481628,kwh
163,7489626,1722470400,1725061500,PV,n,-1,3389.252,0.0,kwh
164,7489626,1722470400,1725061500,other,y,1,3389.252,2399.520739415037,kwh
165,14409770,1722470400,1725061500,EV,y,1,4164.996,52.05629861126992,kwh
166,14409770,1722470400,1725061500,AC,y,1,4164.996,885.6441282004245,kwh
167,14409770,1722470400,1725061500,PV,n,-1,4164.996,0.0,kwh
168,14409770,1722470400,1725061500,other,y,1,4164.996,3227.2955705751933,kwh
169,7389581,1722470400,1725061500,EV,y,1,1408.704,34.94704122477383,kwh
170,7389581,1722470400,1725061500,AC,y,1,1408.704,522.4600194512293,kwh
171,7389581,1722470400,1725061500,PV,n,-1,1408.704,0.0,kwh
172,7389581,1722470400,1725061500,other,y,1,1408.704,851.2969360946785,kwh
173,7246327,1722470400,1725061500,EV,y,1,5022.552,71.42091563307073,kwh
174,7246327,1722470400,1725061500,AC,y,1,5022.552,1034.5408833667498,kwh
175,7246327,1722470400,1725061500,PV,n,-1,5022.552,0.0,kwh
176,7246327,1722470400,1725061500,other,y,1,5022.552,3916.590199200731,kwh
177,8446449,1722470400,1725061500,EV,y,1,4143.464,57.47969064324021,kwh
178,8446449,1722470400,1725061500,AC,y,1,4143.464,809.4165072257515,kwh
179,8446449,1722470400,1725061500,PV,n,-1,4143.464,0.0,kwh
180,8446449,1722470400,1725061500,other,y,1,4143.464,3276.567799662485,kwh
181,11950990,1722470400,1725061500,EV,y,1,4965.188,59.84073221082267,kwh
182,11950990,1722470400,1725061500,AC,y,1,4965.188,992.7877158146996,kwh
183,11950990,1722470400,1725061500,PV,n,-1,4965.188,0.0,kwh
184,11950990,1722470400,1725061500,other,y,1,4965.188,3912.5595507555904,kwh
185,8230211,1722470400,1725061500,EV,y,1,1963.984,43.11695752689878,kwh
186,8230211,1722470400,1725061500,AC,y,1,1963.984,683.1429429024091,kwh
187,8230211,1722470400,1725061500,PV,n,-1,1963.984,0.0,kwh
188,8230211,1722470400,1725061500,other,y,1,1963.984,1237.724096542308,kwh
189,8664685,1722470400,1725061500,EV,y,1,7180.496,86.62490739297054,kwh
190,8664685,1722470400,1725061500,AC,y,1,7180.496,1091.5444778758497,kwh
191,8664685,1722470400,1725061500,PV,n,-1,7180.496,0.0,kwh
192,8664685,1722470400,1725061500,other,y,1,7180.496,6002.326612617671,kwh
193,8687222,1722470400,1725061500,EV,y,1,10435.004,81.24097651522068,kwh
194,8687222,1722470400,1725061500,AC,y,1,10435.004,1345.0971257961342,kwh
195,8687222,1722470400,1725061500,PV,n,-1,10435.004,0.0,kwh
196,8687222,1722470400,1725061500,other,y,1,10435.004,9008.665897117027,kwh
197,9942153,1722470400,1725061500,EV,y,1,7469.556,78.70139237748617,kwh
198,9942153,1722470400,1725061500,AC,y,1,7469.556,1197.1950087974808,kwh
199,9942153,1722470400,1725061500,PV,n,-1,7469.556,0.0,kwh
200,9942153,1722470400,1725061500,other,y,1,7469.556,6193.659596694121,kwh
201,15374422,1722470400,1725061500,EV,y,1,4344.432,63.18014314901978,kwh
202,15374422,1722470400,1725061500,AC,y,1,4344.432,914.292676047329,kwh
203,15374422,1722470400,1725061500,PV,n,-1,4344.432,0.0,kwh
204,15374422,1722470400,1725061500,other,y,1,4344.432,3366.9591792818524,kwh
205,12651465,1722470400,1725061500,EV,n,1,3171.656,0.0,kwh
206,12651465,1722470400,1725061500,AC,y,1,3171.656,845.2504859384,kwh
207,12651465,1722470400,1725061500,PV,n,-1,3171.656,0.0,kwh
208,12651465,1722470400,1725061500,other,y,1,3171.656,2326.4055140616,kwh
209,8343160,1722470400,1725061500,EV,y,1,5129.8,66.6220100728023,kwh
210,8343160,1722470400,1725061500,AC,y,1,5129.8,1055.4391441593657,kwh
211,8343160,1722470400,1725061500,PV,n,-1,5129.8,0.0,kwh
212,8343160,1722470400,1725061500,other,y,1,5129.8,4007.7388437361424,kwh
213,12806858,1722470400,1725061500,EV,y,1,4826.224,57.65537795795897,kwh
214,12806858,1722470400,1725061500,AC,y,1,4826.224,946.8736724725746,kwh
215,12806858,1722470400,1725061500,PV,n,-1,4826.224,0.0,kwh
216,12806858,1722470400,1725061500,other,y,1,4826.224,3821.6949488610535,kwh
217,7807989,1722470400,1725061500,EV,y,1,3595.216,62.6313316291788,kwh
218,7807989,1722470400,1725061500,AC,y,1,3595.216,914.9684111705322,kwh
219,7807989,1722470400,1725061500,PV,n,-1,3595.216,0.0,kwh
220,7807989,1722470400,1725061500,other,y,1,3595.216,2617.61625484339,kwh
221,7072153,1722470400,1725061500,EV,y,1,3612.428,65.48317966656234,kwh
222,7072153,1722470400,1725061500,AC,y,1,3612.428,815.2630743845742,kwh
223,7072153,1722470400,1725061500,PV,n,-1,3612.428,0.0,kwh
224,7072153,1722470400,1725061500,other,y,1,3612.428,2731.6817426717216,kwh
225,10471389,1722470400,1725061500,EV,y,1,4293.0,54.15378252684573,kwh
226,10471389,1722470400,1725061500,AC,y,1,4293.0,894.3540020087943,kwh
227,10471389,1722470400,1725061500,PV,n,-1,4293.0,0.0,kwh
228,10471389,1722470400,1725061500,other,y,1,4293.0,3344.4922121971194,kwh
229,13948681,1722470400,1725061500,EV,y,1,3787.704,38.3164589874276,kwh
230,13948681,1722470400,1725061500,AC,y,1,3787.704,696.7677268910356,kwh
231,13948681,1722470400,1725061500,PV,n,-1,3787.704,0.0,kwh
232,13948681,1722470400,1725061500,other,y,1,3787.704,3052.6198124520115,kwh
233,8304191,1722470400,1725061500,EV,y,1,3888.152,47.17336598836424,kwh
234,8304191,1722470400,1725061500,AC,y,1,3888.152,898.6385942580064,kwh
235,8304191,1722470400,1725061500,PV,n,-1,3888.152,0.0,kwh
236,8304191,1722470400,1725061500,other,y,1,3888.152,2942.3400380669736,kwh
237,7738843,1722470400,1725061500,EV,y,1,1073.66,32.316400726133786,kwh
238,7738843,1722470400,1725061500,AC,y,1,1073.66,432.8476945252229,kwh
239,7738843,1722470400,1725061500,PV,n,-1,1073.66,0.0,kwh
240,7738843,1722470400,1725061500,other,y,1,1073.66,608.495901054996,kwh
241,12484558,1722470400,1725061500,EV,y,1,4110.548,63.09768704919956,kwh
242,12484558,1722470400,1725061500,AC,y,1,4110.548,949.434969109388,kwh
243,12484558,1722470400,1725061500,PV,n,-1,4110.548,0.0,kwh
244,12484558,1722470400,1725061500,other,y,1,4110.548,3098.0153409185127,kwh
245,12394438,1722470400,1725061500,EV,y,1,12144.064,68.33857484473656,kwh
246,12394438,1722470400,1725061500,AC,y,1,12144.064,1239.0281341116563,kwh
247,12394438,1722470400,1725061500,PV,n,-1,12144.064,0.0,kwh
248,12394438,1722470400,1725061500,other,y,1,12144.064,10836.697289526255,kwh
249,12711349,1722470400,1725061500,EV,y,1,4821.964,62.82099832217373,kwh
250,12711349,1722470400,1725061500,AC,y,1,4821.964,962.2974901817198,kwh
251,12711349,1722470400,1725061500,PV,n,-1,4821.964,0.0,kwh
