seq_no,meter_id,meter_disagg_start,meter_disagg_end,usage_interval_duration
1,000059e78bc3f8b27fbf31cf7a33501da4d961ec_AMI,1697004000,1726184700,15 minute
2,000082ac69b44743692402019ee2903356a50ddf_AMI,1688169600,1726184700,15 minute
3,000100ff04352f8731272f9ca5f7c43df3defa92_AMI,1688169600,1726184700,15 minute
4,0001044af8c88871641e35dc281c884dd7d22395_AMI,1710277200,1726184700,15 minute
5,0001285b204afe7f84d52f55d32241305b7f3e93_AMI,1688169600,1726184700,15 minute
6,000188e8314ced9f5fab90e27a44d37f93fdbc8b_AMI,1688169600,1726184700,15 minute
7,000224ba50a04b52896bdd2c3eef616a30ee5e2e_AMI,1688169600,1726184700,15 minute
8,00026deda6f8a23cda41d88527000d13a867ef2f_AMI,1688169600,1726184700,15 minute
9,00027c7b480ef7812586aad6259bcc4d60f4511d_AMI,1688169600,1726184700,15 minute
10,0002aec2b49e9877adf09f69ebb9c53f00ff2c42_AMI,1688169600,1726184700,15 minute
11,000382a937aa03befae961f75f06e063b65cd6a3_AMI,1688169600,1726184700,15 minute
12,0003b2bb9cac10fb78c62781c3b66605034890bb_AMI,1688169600,1726184700,15 minute
13,000473f9dc22686dd63802cb53b766591a3aa65a_AMI,1699599600,1726184700,15 minute
14,0004946a9b175c76f9a90bfcf93b10cf6a7de612_AMI,1688169600,1726184700,15 minute
15,000503d9bebdf6eea8d15b52dfff25dc0ecd2f70_AMI,1688169600,1726184700,15 minute
16,0005f9c9d43575852b13216cb6675b2153e96fbf_AMI,1688169600,1726184700,15 minute
17,000603b068d8c5cc89195ec061b353650352c21b_AMI,1688169600,1726184700,15 minute
18,000665d6ae94ff9e84f4cf28eedf03450c13a109_AMI,1688169600,1726184700,15 minute
19,00067a2eaac685992471410b3d30f6d080e7d03d_AMI,1688169600,1726184700,15 minute
20,00069805a882e9a45b3dbc1084e0aeeb4cb3787b_AMI,1711519200,1726184700,15 minute
21,0006a6f9d290dfb38086bd67beb629582d2101c1_AMI,1688169600,1726184700,15 minute
22,0007a1922dd7e93d5ee2b0d2c6b33db29ea78c73_AMI,1695496500,1726184700,15 minute
23,0007a7a41380a92744cfc3adefc59ca02b65b787_AMI,1688169600,1726184700,15 minute
24,0007e1385988d22dc278d846181092927a921d00_AMI,1688169600,1726184700,15 minute
25,00082b2ec780a5118424a6f7f8843fc1a2312ad1_AMI,1688169600,1726184700,15 minute
26,0008ad36f960113fe4ec2e257247391cac59a683_AMI,1688169600,1726184700,15 minute
27,000998353292e324366a6828f79d70f33d71641b_AMI,1710257400,1726184700,15 minute
28,0009a7c7fac04c152de3c28d51a0e53574a024d6_AMI,1688169600,1726184700,15 minute
29,000a51ac9f4c6d47af68a7291afb16cbbda7b49d_AMI,1688169600,1726184700,15 minute
30,000a69edd1ca6b975df5729d7c8bf182df657045_AMI,1688169600,1726184700,15 minute
31,000a6c1fbcdd74b375c374503b66c58945706d37_AMI,1698796800,1726184700,15 minute
32,000ac4fcfd605b27c161172f3f7e7581e01aa26a_AMI,1688169600,1726184700,15 minute
33,000ad9e048c5583e08ade774bb574cf25f2424d5_AMI,1688169600,1726184700,15 minute
34,000b5750d4b5c200777a40fa23bf3ed660bdae12_AMI,1688169600,1726184700,15 minute
35,000b77a5b0ae6f9cbb9519dbe89a8240a388b3e6_AMI,1688169600,1726184700,15 minute
36,000b8699eb3e105287fe164694efa23deb072dfa_AMI,1688169600,1726184700,15 minute
37,000bc8073bf6aef93458f3e75d76c26268e3491f_AMI,1688169600,1726184700,15 minute
38,000be2533a5369bfa82e995f7059bacf48a109a4_AMI,1688169600,1726184700,15 minute
39,000bf9588ac37d90ce6f43b9c4ec002053ca107b_AMI,1688169600,1726184700,15 minute
40,000bfb22fff5ed5e8f8f6959c8a79dba8e49911d_AMI,1688169600,1726184700,15 minute
41,000bfc89747cf24533dc2441dc1fc88ccddf05a5_AMI,1688169600,1726184700,15 minute
42,000c0869d7510a04fa8d7c0792644346649e1b68_AMI,1688169600,1726184700,15 minute
43,000c08de86e1b41729d0b7b4f3561ca07d8005a6_AMI,1688169600,1726184700,15 minute
44,000c26a87b1109ef02fea510b10318072254aa03_AMI,1688169600,1726184700,15 minute
45,000c3d54500ffe756e19c19ee71c63526b04753f_AMI,1688169600,1726184700,15 minute
46,000c628c69e4f406aac73b1b517c71ddee7ac86e_AMI,1688169600,1726184700,15 minute
47,000c6efc69398e346815e9d46e27e2bb62e4491a_AMI,1688169600,1726184700,15 minute
48,000c7dd24269f56a99e356828566dd94a83b4b43_AMI,1688169600,1726184700,15 minute
49,000cf9dd25223b5318ac236827badeb9a2e19ee3_AMI,1688169600,1726184700,15 minute
50,000cfea93e6a2664f8bc18c8396daf47b4c8787e_AMI,1688169600,1726184700,15 minute
51,000d0f5ec6ab3f1e8ffea73ceee74fbe7a1b1fa1_AMI,1688169600,1726184700,15 minute
52,000d79a723d1a49660b3c42c0cae02c96cf5818c_AMI,1688169600,1726184700,15 minute
53,000d7f8a78cc80d03aac2870558af8fa092b206e_AMI,1688169600,1726184700,15 minute
54,000df860e01ce185fe55e9ab0d6275a7426cd1e0_AMI,1688169600,1726184700,15 minute
55,000e23818588c08799db3e8c85cbbf1e3860dc66_AMI,1688169600,1726184700,15 minute
56,000e83e6c0281a05425bb7b63b4907ce548ea0b6_AMI,1688169600,1726184700,15 minute
57,000ee5539ff65bb1cbe27dbea656a9fa0db69f28_AMI,1688169600,1726184700,15 minute
58,000fa776cc56aadba1d3a7e72b1536bf52e2e4fa_AMI,1688169600,1726184700,15 minute
59,000fbd826e9805a0fe553a58289f81368d95b0b5_AMI,1688169600,1726184700,15 minute
60,000ff6ce30ef7c72921b4c5b3f328802918fbd9d_AMI,1688169600,1726184700,15 minute
61,00103729330418853bfa938048d6a160aa43e1e8_AMI,1688169600,1726184700,15 minute
62,0010b31252dd8a1ae8555adc27ceb277cbf6ca45_AMI,1688169600,1726184700,15 minute
63,0010fe88c2a855b1daf42c74b85083e97b8bb0e5_AMI,1688169600,1726184700,15 minute
64,00118fd5c1c8ba13196f273dc3257c59e46cb5b5_AMI,1688169600,1726184700,15 minute
65,001199a3fc62af2ad3bb5ab35556d5b0e467919a_AMI,1688169600,1726184700,15 minute
66,0011ca1db3bdadbcd227199a619aed2e63b6a490_AMI,1702906200,1726184700,15 minute
67,0011ca42bc61199734ae91504931ce25aeb0d0cc_AMI,1688169600,1726184700,15 minute
68,0011d76da74e331e439e14e39425ac45f6772f4c_AMI,1688169600,1726184700,15 minute
69,001203125707ab28028d829473a2bdbf451c0125_AMI,1688169600,1726184700,15 minute
70,00121156bad53c74d8eed20b8997ccdf004a09c4_AMI,1688169600,1726184700,15 minute
71,001229665d6c3669d5952913e47d159e102e9050_AMI,1688169600,1726184700,15 minute
72,00125ec16862d4b2e2bb7c0734dceaf04887708d_AMI,1704438000,1726184700,15 minute
73,00126b7a06f0a5ba2d921342a38b0a858fd3b7eb_AMI,1688169600,1726184700,15 minute
74,00126c48f45101c877e98d2000bfdc2398022900_AMI,1688169600,1726184700,15 minute
75,00127472d724e5fa7f1dc9fcd3a35f0e7267d92a_AMI,1688169600,1726184700,15 minute
76,00128846e6f694326cd064329c0006772614dcae_AMI,1688169600,1726184700,15 minute
77,001321a5bc43d8d611d7c03e3214d0dd8ec1a9ed_AMI,1688169600,1726184700,15 minute
78,00133fb1fd07a27c4d80cd58fe4ddf6068bf847a_AMI,1688169600,1726184700,15 minute
79,001381580a9a10634701e7bba9c14bdfb8e3fc3b_AMI,1688169600,1726184700,15 minute
80,0013e0f697317a6c51ddb953b0d51711e39499c1_AMI,1688169600,1726184700,15 minute
81,0013e9ab291878fb3f938077e992cb7938b67422_AMI,1688169600,1726184700,15 minute
82,00140c71aaa45ab6cbbd72e50a845cb5d1bb3d06_AMI,1688169600,1726184700,15 minute
83,001417cf55fcf3de6ca71085769a60e05a472434_AMI,1688169600,1726184700,15 minute
84,0014236613538662cdb33e49faada1b6feadca0a_AMI,1688169600,1726184700,15 minute
85,00145b52390dfc87e6af13b91f6f7cd7860bff90_AMI,1688169600,1726184700,15 minute
86,0014b4011d0ba19781939ac18744e6e82f2bfc75_AMI,1688169600,1726184700,15 minute
87,0015b8d05dc713dd8dfd20d53818a6180db39ad2_AMI,1701388800,1726184700,15 minute
88,0016413361ff0f0008a2ec1082074e6ff182ce58_AMI,1704412800,1726184700,15 minute
89,00164a723c1111c1392949a8d6e0829368daa160_AMI,1698040800,1726184700,15 minute
90,00167af7b965481063b204999c9bc3f881100958_AMI,1698127200,1726184700,15 minute
91,0016bb69943e918f7bed2f90ff9fa52b163a9d77_AMI,1688169600,1726184700,15 minute
92,0016c98a730c5e619d850cbd979c8e90677d594b_AMI,1688169600,1726184700,15 minute
93,00171b853cdc0f6ea4b4ce04358fe6839c1c00b6_AMI,1688169600,1726184700,15 minute
94,00172ae0a090ab7fff5ec8eeb80980abfce33009_AMI,1688169600,1726184700,15 minute
95,001747946c502bed70cd9c82469b5e68068b6dfd_AMI,1688169600,1726184700,15 minute
96,001757e1c9f300df87e6538c1b940e8028398de7_AMI,1711432800,1726184700,15 minute
97,0018787c0c0ac608c31a3a723463f551801d8c83_AMI,1688169600,1726184700,15 minute
98,00188337642cbf6c7d0cb4b83a2178e49b1b3fd9_AMI,1688169600,1726184700,15 minute
99,0018aa8714754e953fb11f941ab250183f0765a6_AMI,1695338100,1726184700,15 minute
100,0018e80d8cb1a843887ffe827696768f8c555866_AMI,1688169600,1726184700,15 minute
101,00192c7facfe40426835cc36f279a7d5e8c08d08_AMI,1688169600,1726184700,15 minute
102,0019564204d3657b3a2e9a86ad2bd3007da7e782_AMI,1688169600,1726184700,15 minute
103,00198ac2ec1112cf119558eebb9c99f95ea9e681_AMI,1688169600,1726184700,15 minute
104,0019c37bfcaa1139972e64a4752772e19f584fc1_AMI,1702450800,1726184700,15 minute
105,001a0d1ff3412d2fa6e3d23df5d07f693f631eda_AMI,1688169600,1726184700,15 minute
106,001a18d68ba11b852ab8b1316a1d451331ac3437_AMI,1688169600,1726184700,15 minute
107,001a7d013383c8615b5156de6372e67019050195_AMI,1688169600,1726184700,15 minute
108,001a9d14f3f0d2b2d5bdd33cf2336ce805356df0_AMI,1688169600,1726184700,15 minute
109,001abbb51301f737398e2b11b3f2e6a0aabac639_AMI,1688169600,1726184700,15 minute
110,001ac582eb16ff5d0bd76bc866265e9cde95f071_AMI,1688169600,1726184700,15 minute
111,001adb59d5b18ac9bbfe709f814763a725e35d17_AMI,1688169600,1726184700,15 minute
112,001ae5c48d733ae3102bb859fec2eeaf7732a89a_AMI,1688169600,1726184700,15 minute
113,001b1369e4fa4d59d2e99f52663ff644085d3314_AMI,1711346400,1726184700,15 minute
114,001b630bb43f3b2cbaf74c4a8ba7782ffe47a602_AMI,1688169600,1726184700,15 minute
115,001b9406f4937b9b0d28c82e8370c10cc4282d01_AMI,1688169600,1726184700,15 minute
116,001be8a4eac9caf7f9427926ad98ef661750c77b_AMI,1688169600,1726184700,15 minute
117,001bf0049e52d7cc07ee82b4296933382dcc8c9d_AMI,1688169600,1726184700,15 minute
118,001bf59006769da9e28ccd58635932788dbea21e_AMI,1688169600,1726184700,15 minute
119,001c1b9ca674f52dde00387eccbaeb5204f21b5e_AMI,1688169600,1726184700,15 minute
120,001c24bd8022d3677524973f9d22f036cc5c20fe_AMI,1688169600,1726184700,15 minute
121,001c3c0d49a1614bb39603ba22927ddb01f40133_AMI,1688169600,1726184700,15 minute
122,001ccaac4540d9ea62cf1d7b3d579127f493e3fa_AMI,1688169600,1726184700,15 minute
123,001ccfd56d9924714cca334b44d0ace35fce93e7_AMI,1688169600,1726184700,15 minute
124,001d6932cc9af72b7fb39b1cce43b19b639080e3_AMI,1693461600,1726184700,15 minute
125,001deba852a066def3abf6cf308ac6dbf3c08923_AMI,1688169600,1726184700,15 minute
126,001e6b1237ca97e0cb8580f7ad880d2aa36a4d44_AMI,1688169600,1726184700,15 minute
127,001e86faa766206dba5e5f83f075fbae5160c49f_AMI,1688169600,1726184700,15 minute
128,001ea8963c3433eb9cd48b5c62adb23d8e6c071a_AMI,1688169600,1726184700,15 minute
129,001eedead3772cce122334ebc842e3fc592efacb_AMI,1688169600,1726184700,15 minute
130,001fba4cdd39bec2e749dca23e08a76d27913c23_AMI,1688169600,1726184700,15 minute
131,001fd94eab91607954436a02dbf6ae557acb3540_AMI,1688169600,1726184700,15 minute
132,0020219afc426a71f2361132edff34ca6671561e_AMI,1688169600,1726184700,15 minute
133,0020349c3d733e8cfaad3831daef98b516b6bb1a_AMI,1688169600,1726184700,15 minute
134,00203cf49dda1a7cfd8c2007a50f50a226ec6295_AMI,1688169600,1726184700,15 minute
135,002076043f2be2dd14b441a613226030c426ebcb_AMI,1688169600,1726184700,15 minute
136,0020785cda054472b98d6b2a888292b1530adc47_AMI,1695276000,1726184700,15 minute
137,0020f3147a036056a7d3c29c5c953a98ff359ce2_AMI,1688169600,1726184700,15 minute
138,0020f7f41c0e7d4bea9b189dca84a7814330d4c3_AMI,1688169600,1726184700,15 minute
139,00210e3cec88bf1a07998677e7745a253ffd682f_AMI,1688169600,1726184700,15 minute
140,00217bda9243c463559516f34cd775edbacda9d1_AMI,1688169600,1726184700,15 minute
141,0021aa26894f20d06b9b6b2423c69e5679d1bcd0_AMI,1688169600,1726184700,15 minute
142,002214c2b077597e32dc9d5474140fb8e2ac747e_AMI,1688169600,1726184700,15 minute
143,00221c2f1c5ca82e81f3017103f2023dd5044958_AMI,1688169600,1726184700,15 minute
144,00221e8d9622d6659c17d5ad025c7697b8feb450_AMI,1709708400,1726184700,15 minute
145,00222a7e9113f14150fb5d8172b6e0cc9f414cd1_AMI,1688169600,1726184700,15 minute
146,00223495e63628c3753843b6df42acc673ee1687_AMI,1688169600,1726184700,15 minute
147,002235da4a791f17fbe612b8dc8a65ea72cc0117_AMI,1688169600,1726184700,15 minute
148,002272a816081b5070bdbd7251e90ff6692aac91_AMI,1688169600,1726184700,15 minute
149,0022aef0ee5e9f37758307eb776606590d9770e0_AMI,1688169600,1726184700,15 minute
150,00230accc74f6328cef61770c9581b745a56c437_AMI,1688169600,1726184700,15 minute
151,0023b5dbaa632ae341a94a66502516d90ee8f299_AMI,1688169600,1726184700,15 minute
152,0023ef4fcf914241059eb04b93e1aaf662d51fe3_AMI,1688169600,1726184700,15 minute
153,00248dff472140bec13dcfdb9c6a142bcbea7b74_AMI,1688169600,1726184700,15 minute
154,0025659f1fbae585019ffa145189e2daf089e11a_AMI,1688169600,1726184700,15 minute
155,00257adf63b6d087f7948e23c293e8b36c0b2113_AMI,1698760800,1726184700,15 minute
156,002585e875425d5ed0e73c73d183466137897e1b_AMI,1688169600,1726184700,15 minute
157,0025c1462d63a93ce23265013d1e1d48f8870f41_AMI,1688169600,1726184700,15 minute
158,00261c157235cc046c7fbc5e232be417521892db_AMI,1688169600,1726184700,15 minute
159,00261d5197c150e6f9fe9ac902abb054938244a9_AMI,1688169600,1726184700,15 minute
160,00262c870069e84a8b7783657697355cb44ba598_AMI,1702882800,1726184700,15 minute
